#	Id	ClassId	GfxPresetId		NameStringId	AutoDisappearTimeMilliseconds	FadeOutTimeMilliseconds	DisplayWidth	DisplayHeight
#	編號	Class編號	GfxPreset編號		名稱的字串編號	顯示多久之後自動關閉（毫秒）	自動關閉時要用多久的時間淡出（毫秒）。	顯示時的寬度	顯示時的高度
	1	9112	5000001	無言	1050001	2000	500		
	2	9112	5000002	笑	1050002	2000	500		
	3	9112	5000003	害羞	1050003	2000	500		
	4	9112	5000004	愛心	1050004	2000	500		
	5	9112	5000005	高興	1050005	2000	500		
	6	9112	5000006	生氣	1050006	2000	500		
	7	9112	5000007	大笑	1050007	2000	500		
	8	9112	5000008	裝酷	1050008	2000	500		
	9	9112	5000009	驚訝	1050009	2000	500		
	10	9112	5000010	發火	1050010	2000	500		
	11	9112	5000011	愛慕	1050011	2000	500		
	12	9112	5000012	疑問	1050012	2000	500		
	13	9112	5000013	跟隨	1050013	2000	500		
	14	9112	5000014	哭	1050014	2000	500		
	15	9112	5000015	沮喪	1050015	2000	500		
	16	9112	5000016	勝利	1050016	2000	500		
	17	9112	5000017	嘔吐	1050017	2000	500		
	18	9112	5000018	抱歉	1050018	2000	500		
	19	9112	5000019	謝謝	1050019	2000	500		
	20	9112	5000020	再見	1050020	2000	500		
	21	9112	5000021	睡覺	1050021	2000	500		
	22	9112	5000022	火車	1050022	2000	500		
	23	9112	5000023	搖頭	1050023	2000	500		
	24	9112	5000024	點頭	1050024	2000	500		
	25	9112	5000025	剪刀	1050025	2000	500		
	26	9112	5000026	石頭	1050026	2000	500		
	27	9112	5000027	布	1050027	2000	500		
	28	9112	5000028	燈泡	1050028	2000	500		
	29	9112	5000029	HP用完	1050029	2000	500		
	30	9112	5000030	MP用完	1050030	2000	500		
	31	9112	5000031	Buff	1050031	2000	500		
	32	9112	5000032	SOS	1050032	2000	500		
	33	9112	5000033	準備	1050033	2000	500		
	34	9112	5000034	開始	1050034	2000	500		
	35	9112	5000035	YES	1050035	2000	500		
	36	9112	5000036	NO	1050036	2000	500		
	37	9112	5000037	逃命	1050037	2000	500		
	38	9112	5000038	開火	1050038	2000	500		
	39	9112	5000039	停止	1050039	2000	500		
	40	9112	5000040	投降	1050040	2000	500		
