#	Id	ClassId	NameStringId	EnterGameRoomImgId	LevelDesignGroupId	CanPK	DeadPenalty	LoseExpWhenDead	PKProtectionPlayerLevel	ChannelSize						StageMapGfxId	BossPictureGfxId	StageLevel	StageNameGfxId	StagePurposeStrId	VictoryWordStrId	LoseWordStrId	DescStringId	FilePath	RespawnLevelDesignId	MiniMapPicPresetId	LimitTimeBySecond	InitMusicId	MapPresetId	OpenGameRoom	Announce	MoneyOfCoffer	InterestOfCoffer	Type	FloorOnCondition	RoofOnCondition	RewardEXP	Prestige	RewardGP	MVPMin	MVPEXP	MVPGP	StageKillerMin	KillerEXP	KillerGP
# 頭銜獎勵比例																																						10%			30%	30%		20%	20%
#	編號	Class編號	名稱StringID	場景名稱圖示底圖	關卡群組	可否PK	死亡是否有特別懲罰	死亡是否掉經驗值	這個關卡的 PK 保護等級	場景分流數	備注：對應區域	備注：關卡(地圖)名稱	備注：地圖id	備注：PC 等級限制	備注：MOB 等級	關卡示意圖 ID	BOSS示意圖ID	困難度	關卡名稱標題圖 ID	關卡副標題StringID	勝利條件敘述StringID	失敗條件敘述StringID	說明	路徑	死亡後重生傳送的關卡編號	雷達底圖ID	關卡時間限制	背景音樂	使用地圖編號	開放型場景(0/1)	設定完成可以公開	金庫的存款(0~n)	金庫的利息(每秒滋生的利息)(0~n)	關卡類型	條件下限	條件上限	EXP獎賞	聲望獎賞	GP獎賞	須達到最低傷害值	MVP獲得的EXP	MVP獲得的GP	須達到最低殺怪數	千人斬獲得的EXP	千人斬獲得的GP
	1	9200	0			0	0	0	99999		選角創角場景	梁山泊	1										0	LevelDesign\Lv0001.xml	3			15	1	0	0	100000000	100000000	0											
	2	9200	2400001	10001	1	0	0	0	99999		新手教學	梁山泊基地	2										0	LevelDesign\Lv0002.xml	2	20001	600	8	2	1	1	100000000	100000000	0											
	3	9200	2400002	10002	2	0	0	0	99999		英雄城(壹)	英雄城(壹)	3										0	LevelDesign\Lv0003.xml	3	20002	600	121	3	1	1	100000000	100000000	0											
#	副本段用景																																												
	4	9200	2500001		3	0	0	1	99999		兔子城任務1	出征！兔城平原戰(lv1)	4		1~5	5100001	5255004	0	5155001	8051001	8052001	8054002	0	LevelDesign\Lv0004.xml	3	20003	390	9	4	0	1	100000000	100000000	2	600	300	0	0	0	1	0	0	1	0	0
	5	9200	2500002		4	0	0	1	99999		兔子城任務2	神祕迴旋林之戰	5		12~15	5100002	5255005	0	5155002	8051002	8052002	8054001	0	LevelDesign\Lv0005.xml	3	20004	300	11	5	0	1	100000000	100000000	2	500	240	2310	310	400	44227	693	120	68	462	80
	6	9200	2500003		6	0	0	1	99999		兔子城任務3	迷霧谷之戰	6		13~16	5100003	5255006	0	5155003	8051003	8052003	8054003	0	LevelDesign\Lv0006.xml	3	20005	300	4	6	0	1	100000000	100000000	2	500	240	4798	632	818	18306	1439	245	31	960	164
	7	9200	2500004		8	0	0	1	99999		兔子城任務4	突破！兔王領域攻入戰	7		17~21	5100004	5255007	0	5155004	8051004	8052004	8054001	0	LevelDesign\Lv0007.xml	3	20006	600	10	7	0	1	100000000	100000000	2	900	300	8549	1107	1295	93172	2565	389	56	1710	259
	8	9200	2500005		5	0	0	1	99999		兔子城任務5	村長的求救	4		5~8	5100001	5255008	0	5155005	8051005	8052005	8054020	0	LevelDesign\Lv0008.xml	3	20003	390	9	4	0	1	100000000	100000000	2	800	300	313	36	117	16322	94	35	54	63	23
	9	9200	2500006		7	0	0	1	99999		兔子城任務6	密林裡的大仙	5		8~11	5100002	5255009	0	5155006	8051006	8052006	8054021	0	LevelDesign\Lv0009.xml	3	20004	600	11	5	0	1	100000000	100000000	2	900	400	1720	222	470	15064	516	141	32	344	94
