#	Id	ClassId	RankStringId	GfxPresetId	Prestige	AutoPromotion			
#	編號	Class編號	官階名稱	官階圖示	升到下級所需聲望	可否自動晉升	官階	期待等級	累積升級時間 (hr)
	1	2200	1030001	1001	3340	0	士兵	1	0
	2	2200	1030002	1002	20500	0	下士	10	0.36
	3	2200	1030003	1003	79700	0	士官	15	0.84
	4	2200	1030004	1004	254000	0	上士	20	1.82
	5	2200	1030005	1005	586000	0	士官長	25	4.29
	6	2200	1030006	1006	1143000	0	騎士	30	9.99
	7	2200	1030007	1007	2006000	0	中尉騎士	35	19.87
	8	2200	1030008	1008	3210000	0	上尉騎士	40	33.7
	9	2200	1030009	1009	4820000	0	少校	45	52.03
	10	2200	1030010	1010	6890000	0	指揮官	50	75.46
	11	2200	1030011	1011	12470000	0	元帥	55	104.57
	12	2200	1030012	1012	0	0	總元帥	65	181.99








									
