#	Id	ClassId	NameStringId									AbilityType					Level	Fightable	ShowHPLabel	ShowOnMiniMap	3DTemplateName	Scale	ScaleAbility	HurtScale	HurtScaleDruation	HurtScaleMaintain 	PC_NPCShowType	UseBBox	Length	Width	Height	Radius	AIPresetId	RestoreHP	RestoreMP	MaxHP	MaxMP	Attack	Defence	Strength	Dexterity	Constitution	Intelligence	CriticalPower	CriticalHitRate	LuckyValue	GuardianValue	GroundHarm	WaterHarm	FireHarm	WindHarm	Unground	Unwater	Unfire	Unwind	AbsoluteDamage	AbsoluteDefence	AbsoluteDamageRate	AbsoluteDefenceRate	FightRadius	DeBufferDefenceRate	CanNotBeInterrupted	CanNotBeKickOut	SkillId1	SkillRate1	SuccessfulRate1	SkillId2	SkillRate2	SuccessfulRate2	HurtSkillKind	HurtSkillID	MoveSpeed	RunawaySpeed	GuardSpeed	RespawnTime	FaintTime	MoveSoundId	DeadSoundId	BeHitSoundId	JumpUpSoundId	JumpDownSoundId	BulletOffsetX	BulletOffsetY	BulletOffsetZ	HurtEffectTemplateName	DieEffectTemplateName	DiedEffectTemplateName	Money	MoneyRate	GroupLimit	DropItemGroupPresetId_1	GroupCount_1	GroupRate_1	DropItemGroupPresetId_2	GroupCount_2	GroupRate_2	DropItemGroupPresetId_3	GroupCount_3	GroupRate_3	DropItemGroupPresetId_4	GroupCount_4	GroupRate_4	DropItemGroupPresetId_5	GroupCount_5	GroupRate_5	Exp	ClientInitializeScript	DecStringId	InteractiveRadius	ComboSkillId1	ComboSkillId2	ComboSkillId3	ComboSkillId4	ComboSkillId5	ComboSkillId6	ComboSkillId7	PhysicsReflectionAttackAugment	ElementReflectionAttackAugment	GuardianOffset_X	GuardianOffset_Y	GuardianOffset_Z																
# 取得物理型MOB數值								← 刪了會死人！平時編輯時可以隱藏此列 →																										22	23	2	3	4	5	8	9	10	11	12	13	14	15	6	6	6	6	7	7	7	7																																																			33																															
# 取得元素型MOB數值								← 刪了會死人！平時編輯時可以隱藏此列 →																														16	17									18	18	18	18	19	19	19	19																																																																																		
# 計算物理型MOB角色類型參數								← 刪了會死人！平時編輯時可以隱藏此列 →																										2	3	2	3	4	5	8	9	10	11	12	13	14	15	6	6	6	6	7	7	7	7																																																			4																															
# 計算元素型MOB角色類型參數								← 刪了會死人！平時編輯時可以隱藏此列 →																														16	17									18	18	18	18	19	19	19	19																																																																																		
# 計算元素型MOB元素參數								← 刪了會死人！平時編輯時可以隱藏此列 →				6																																				2	3	4	5	2	3	4	5																																																																																		
# 計算MOB階級參數								← 刪了會死人！平時編輯時可以隱藏此列 →																										3	3	3																				6	7	8	9																																															4																															
# 依等級抓取怪物 GP 預算								← 刪了會死人！平時編輯時可以隱藏此列 →																																																																																4	7		10	11	12	15	16	17	20	21	22	25	26	27	30	31	32																		4	95	4	95	4	95	4	95	4	95					
# 依等級抓取指定掉寶範圍內符合資料回傳 ID								← 刪了會死人！平時編輯時可以隱藏此列 →																																																																																5			75	76	77	93			93			93			93																					"10,000"		"10,000"		"10,000"		"10,000"		"10,000"					
#								← 刪了會死人！平時編輯時可以隱藏此列 →																										10																																																												20						0																																					
# 紅字或黑字：自行填入的內容。若如生命值等素質標為紅字，則表示有特別的需求，不參照公式計算結果。																																																																																												1000		10																																											
# 藍字：經由公式計算而得到的結果。																																																																																								0.2	2000			40%																																										5 倍			
# 紫字：經由參照其他頁面或文件資料計算而得到的結果。																																																																																									8000								0						4																															300 秒			
#	編號	Class編號	名稱StringID (6字以內)	所屬區域	關卡/場景	參考關卡	是否使用	名稱	特性說明1		參照：怪物階級	屬性圖示	參照: 元素屬性	參照：怪物類型	實際等級	基本等級	顯示等級	可否被攻擊	是否顯示血條	是否顯示於雷達圖	使用3D模型名稱	放大縮小(自己)	放大縮小(自己+周圍掛載物)	受傷放大倍率	受傷放大漸變時間	受傷變大維持時間	遮擋時是否透明呈現	使用Bbox	NPC長	NPC寬	NPC高	NPC半徑	AI類型	HP回復點數	MP回復點數	生命值	技能值	攻擊力	防禦力	力量	敏捷	體質	智慧	爆發力	爆擊率	幸運值	守護值	地屬性	水屬性	火屬性	風屬性	地抗性	水抗性	火抗性	風抗性	絕對物理攻擊	絕對物理防禦	絕對攻擊倍率	絕對防禦倍率（減免比例）	攻擊時保持的距離	DeBuffer閃避比例	受擊時不被中斷技能	不被踢飛	技能1	使用機率1	成功機率1	技能2	使用機率2	成功機率2	可以造成傷害的技能類型	限定造成傷害的技能編號	移動速度	逃跑速度	戰鬥移動速度	重生時間	昏迷時間	走路音效	死亡音效	受傷音效	起跳音效	落下音效	子彈的偏移值X(左右)	子彈的偏移值Y(高)	子彈的偏移值Z(前後)	受傷特效的Template名稱	開始死亡特效的Template名稱	死亡斷氣後特效的Template名稱	掉落金錢數量	"金錢掉落機率 (1/10,000)"	掉落寶物群組上限	掉落寶物群組 ID 1 (特殊、任務)	群組內掉落物品數量	此群組物品掉落機率	掉落物品群組 ID 2 (消耗品)	群組內掉落物品數量	此群組物品掉落機率	掉落物品群組 ID 3 (裝備)	群組內掉落物品數量	此群組物品掉落機率	掉落物品群組 ID 4 (飾品、守護神)	群組內掉落物品數量	此群組物品掉落機率	掉落物品群組 ID 5 (額外物品)	群組內掉落物品數量	此群組物品掉落機率	經驗值	Client端初始化劇情Script	說明ID	互動半徑	連續攻擊技能1	連續攻擊技能2	連續攻擊技能3	連續攻擊技能4	連續攻擊技能5	連續攻擊技能6	連續攻擊技能7	物理反彈率%	元素反彈率%	守護神相對於變身角色的X座標	守護神相對於變身角色的Y座標	守護神相對於變身角色的Z座標		寶物群組名稱1	寶物群組期望值1	寶物群組名稱2	寶物群組期望值2	寶物群組名稱3	寶物群組期望值3	寶物群組名稱4	寶物群組期望值4	寶物群組名稱5	寶物群組期望值5		MOB 預算	掉落物品價值 GP 期望值總和	寶物組掉落建議調整比例	須補加產出
	1	3000	3000001	新手區	梁山基地		yes	練習木頭人	木頭人		小怪	0	無	特殊	1	1	1	1	1	1	moba0060	1		1.3	0	0.1	0	0	50	50	100	25	0	0	0	100	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	100		0	0									100	110	200	-1	3		9100050	9104010						EF0001	EF_die_01a	EF_ov_01a	0	0		1001	1	10000													0																	木樁輪	6	--	0	--	0	--	0	--	0		0	6	0.00%	
	2	3000	3000002	兔子城	副本段	4		假面蝗蟲	蝗蟲		小怪	0	無	平均	1	1	1	1	1	1	mobb0068	1		1.3	0	0.1	0	0	50	50	90	25	11	2	17	140	1000	25	67	20	20	0	0	10	0	20	0	0	0	0	0	74	74	74	74	0	0	100	0	100		0	0	3000021	1	100	3000022	3	100			100	110	200	9	3		9400050	9404010						EF0001	EF_die_01a	EF_ov_01a	1	2000	2				2101	1	10000		1	1000		1	100				2																	--	0	1級藥水、消耗品組	6	--	0	--	0	--	0		6	6	100.00%	
	3	3000	3000003	兔子城	副本段	4		戰兔	坦克兔		小怪	0	無	平均	2	2	2	1	1	1	moba0002a	1		1.3	0	0.1	0	0	100	50	90	25	11	3	18	157	1100	29	75	22	22	0	0	11	0	22	0	0	0	0	0	83	83	83	83	0	0	100	0	100		0	0	3004021	2	100	3004022	1	100			90	99	180	9	3		9500050	9504010						EF0001	EF_die_01a	EF_ov_01a	1	8000	2				2101	1	10000		1	1000		1	100				13																	--	0	1級藥水、消耗品組	6	--	0	--	0	--	0		7	6	116.70%	
	4	3000	3000004	兔子城	副本段	4		白兔隊長	白兔		新手小BOSS	0	無	戴宗	4	3	3	1	1	1	moba0001	1.5		1.3	0	0.1	0	0	60	60	120	30	12	5	46	282	1365	36	89	25	29	0	0	12	0	26	0	0	0	0	0	116	116	116	116	0	0	100	0	100		1	1	3000031	2	100	3000032	1	100			150	165	300	20	3		9400050	9404010						EF0001	EF_die_01a	EF_ov_01a	4	8000					2101	1	10000		1	1000		1	100				30																	--	0	1級藥水、消耗品組	6	--	0	--	0	--	0		20	6	333.30%	
	5	3000	3000005	兔子城	副本段	4		平原守護者1號	披風兔		新手中BOSS	0	無	孫二娘	6	4	4	1	1	1	moba0062b	2		1.3	0	0.1	0	0	100	100	150	60	12	10	86	627	1725	39	101	30	29	0	0	13	0	30	0	0	0	0	0	111	111	111	111	0	0	100	0	200		1	1	3200001	1	100	3200002	1	100			200	220	400	1800	3		9400050	9404010						EF0001	EF_die_01b	EF_ov_01a	74	8000					2301	1	10000		1	10000		1	1000				87																	--	0	1級武、防卷軸組	6	--	0	--	0	--	0		161	6	2683.30%	
	10	3000	3000010	兔子城	副本段	8		黑嘛嘛	刺蝟		副本-小怪	1	地	戴宗	5	5	5	1	1	1	moba9101	1.3		1.3	0	0.1	0	0	60	60	50	25	11	2	24	154	1470	41	102	27	31	0	0	12	0	28	0	71	0	0	0	18	18	18	2	0	0	100	0	100		0	0	4000004	2	100	4000008	1	100			100	110	200	9	3		9200050	9204010						EF0001	EF_die_01a	EF_ov_01a	6	8000	2				2101	1	10000		1	1000		1	100				62																	--	0	1級藥水、消耗品組	6	--	0	--	0	--	0		12	6	200.00%	
	11	3000	3000011	兔子城	副本段	8		小土蝸	蝸牛		副本-小怪	0	無	林沖	6	6	6	1	1	1	moba0019	2.5		1.3	0	0.1	0	0	70	70	70	40	11	4	23	255	1350	41	109	31	33	0	0	13	0	30	0	0	0	0	0	103	103	103	103	0	0	100	0	100		0	0	4000001	3	100	3008022	1	100			100	110	200	9	3		9400050	9404010						EF0001	EF_die_01a	EF_ov_01a	10	8000	2				2101	1	10000		1	1000		1	100				103																	--	0	1級藥水、消耗品組	6	--	0	--	0	--	0		16	6	266.70%	
	12	3000	3000012	兔子城	副本段	8		黃兔隊長	黃兔		新手小BOSS	1	地	孫二娘	8	7	7	1	1	1	moba0001b	1.5		1.3	0	0.1	0	0	60	60	120	30	12	8	64	471	1955	47	121	34	32	0	0	14	0	34	0	90	0	0	0	23	23	23	2	0	0	100	0	150		1	1	3000031	1	100	3000032	1	100			100	110	200	20	3		9400050	9404010						EF0001	EF_die_01a	EF_ov_01a	16	8000					2101	1	10000		1	1000		1	100				98																	--	0	1級藥水、消耗品組	6	--	0	--	0	--	0		44	6	733.30%	
	13	3000	3000013	兔子城	副本段	8		圓球嘟嘟	毒霧兔		新手中BOSS	0	無	雷橫	10	8	8	1	1	1	moba0003a	1.7		1.3	0	0.1	0	0	200	200	200	130	12	25	84	1436	1672	62	153	40	36	0	0	15	0	38	0	0	0	0	0	156	156	156	156	0	0	100	0	150		1	1	3200051	1	100	3200052	1	100			150	165	300	1800	3		9600050	9604010						EF0001	EF_die_01b	EF_ov_01a	94	8000					2301	1	10000	13005	1	10000		1	1000				426																	--	0	1級武、防卷軸組	6	10級上衣組--綠	44	--	0	--	0		289	50	578.00%	
	19	3000	3100023	兔子城	副本段	8		戰熊	推蘿蔔的熊		機關(同級可擋3下)	0	無	平均	8	5	5	1	1	1	moba9001	1		1.3	0	0	0	0	80	100	90	50	1001			1435	1700	47	121	34	34	0	0	14	-100	34	0	0	0	0	0	133	133	133	133	0	0	1000	0	100	50	0	1	4000002		100	3000092		100			90	99	180	10	3		9300050	9304010						EF0001	EF_die_01a	EF_ov_01a	0	0																	298																	--	0	--	0	--	0	--	0	--	0		88	0		
