#	Id	ClassId	NameStringId	DescStringId
#	編號	Class 編號	任務群組名稱	任務群組說明
	1	9302	8270001	8275001
	2	9302	8270002	8275002
	3	9302	8270003	8275003
	4	9302	8270004	8275004
	5	9302	8270005	8275005
	6	9302	8270006	8275006
	7	9302	8270007	8275007
	8	9302	8270008	8275008
	9	9302	8270009	8275009
	10	9302	8270010	8275010
	11	9302	8270011	8275011
	12	9302	8270012	8275012
	13	9302	8270013	8275013
	14	9302	8270014	8275014
	15	9302	8270015	8275015
	16	9302	8270016	8275016
	17	9302	8270017	8275017
	18	9302	8270018	8275018
	19	9302	8270019	8275019
	20	9302	8270020	8275020
	21	9302	8270021	8275021
	22	9302	8270022	8275022
	23	9302	8270023	8275023
	24	9302	8270024	8275024
	25	9302	8270025	8275025
	26	9302	8270026	8275026
	27	9302	8270027	8275027
	28	9302	8270028	8275028
	29	9302	8270029	8275029
	30	9302	8270030	8275030
	31	9302	8270031	8275031
	32	9302	8270032	8275032
	33	9302	8270033	8275033
	34	9302	8270034	8275034
	35	9302	8270035	8275035
