#	Id	ClassId				NameStringId
#	編號	Class編號	動物城	關卡名稱	等級	名稱StringID(3)
	1	9201	新手村			2400001
	2	9201	第一主城			2400002
	3	9201	兔子城	出征！兔城平原戰	1	2500001
	4	9201	兔子城	神祕迴旋林之戰	5	2500002
	5	9201	兔子城	村長的求救	5	2500005
	6	9201	兔子城	迷霧谷之戰	8	2500003
	7	9201	兔子城	密林裡的大仙	8	2500006
	8	9201	兔子城	突破！兔王領域攻入戰	11	2500004
	9	9201	兔子城	迷霧的逆襲	11	2500007
	10	9201	兔子城	兔城攻防會戰	14	2500008
	11	9201	兔子城	Boss戰~決勝兔王要塞	17	2500009
	12	9201	大象城	酷熱谷的磨練	20	2500010
	13	9201	大象城	城門內遊擊戰	22	2500014
	14	9201	大象城	泥漿山城戰	22	2500011
	15	9201	大象城	神木密林追擊戰	25	2500012
	16	9201	大象城	過5關斬6將之戰	25	2500015
	17	9201	大象城	城外高原急襲戰	27	2500013
	18	9201	大象城	潛入戰	27	2500016
	19	9201	大象城	風管房的坦克大戰	29	2500017
	20	9201	大象城	收服象王戰	32	2500018
	21	9201	大象城	生存遊戲	20	2500019
	22	9201	大象城	100挑戰賽	22	2500020
	23	9201	大象城	終點分開挑戰賽	25	2500021
	24	9201	大象城	終點挑戰賽	27	2500022
	25	9201	彪城	坦克隊的淪陷	35	2500023
	26	9201	彪城	彪族的地獄火	37	2500024
	27	9201	彪城	虎頭山之行	39	2500025
	28	9201	彪城	坦克大對決	41	2500026
	29	9201	彪城	逃出虎穴	42	2500027
	30	9201	彪城	坦克隊長的任務	43	2500028
	31	9201	駱駝城	沙丘魔蠍戰	40	2500029
	32	9201	駱駝城	沙漠城堡戰 	43	2500030
	33	9201	駱駝城	決戰沙漠城	45	2500031
	34	9201	貓城	LV 45  	45	2500032
	35	9201	貓城	LV 48  	48	2500033
	36	9201	貓城	LV 50  	50	2500034
	37	9201	鷹城	機場追擊戰	50	2500035
	38	9201	鷹城	雲端戰役	53	2500036
	39	9201	鷹城	決戰天際線	55	2500037
	40	9201	兔城	兔城原野1	10	2400005
	41	9201	兔城	兔城原野2	20	2400006
	42	9201	象城	象王領地1	21	2400007
	43	9201	象城	象王領地2	21	2400008
	44	9201	彪城	彪族山林1	36	2400009
	45	9201	彪城	彪族山林2	36	2400010
	46	9201	駱駝城	沙漠荒原1	36	2400011
	47	9201	駱駝城	沙漠荒原2	36	2400012
	48	9201	貓城	聖貓原野1	46	2400013
	49	9201	貓城	聖貓原野2	46	2400014
	50	9201	鷹城	天空之城1	46	2400015
	51	9201	鷹城	天空之城2	46	2400016
	52	9201	推王	機械廣場		2400017
#	任務重複與否用					
	1001	9201	可重複任務	全	0	2399999
	1002	9201	不可重複任務	全	0	2400000
	1003	9201	主線任務	全	0	2399998
	1004	9201	副本任務	全	0	2399997
	1005	9201	支線任務	全	0	2399996
	1006	9201	其他任務	全	0	2399995
	1007	9201	活動任務	全	0	2399994
	1008	9201	兌換任務	全	0	2399993
