	Id	ClassId	String
	9000001	9400	9000003
	9000002	9400	10000
	9000003	9400	00 00  20 7E
	9100001	9400	9100003
	9100002	9400	10000
	9200001	9400	9200003
	9200002	9400	10000
	9300001	9400	9300003
	9300002	9400	10000
	9300003	9400	bitch
	9300004	9400	bitches
	9300005	9400	SEX
	9300006	9400	Sex
	9300007	9400	sex
	9300008	9400	S-H-I-T
	9300009	9400	s-h-i-t
	9300010	9400	SHIT
	9300011	9400	shit
	9300012	9400	Shit
	9300013	9400	shitty
	9300014	9400	shity
	9300015	9400	falundafa
	9300016	9400	fuck
	9300017	9400	fucked
	9300018	9400	fucker
	9300019	9400	fuckers
	9300020	9400	fucking
	9300021	9400	f_u_c_k
	9300022	9400	F_U_C_K
	9300023	9400	F U C K
	9300024	9400	F-U-C-K
	9300025	9400	f-u-c-k
	9300026	9400	Fuck
	9300027	9400	FUCK
	9300028	9400	asses
	9300029	9400	asshole
	9300030	9400	assholes
	9300031	9400	bastard
	9300032	9400	bastards
	9300033	9400	c0ck
	9300034	9400	cock
	9300035	9400	cocks
	9300036	9400	cum
	9300037	9400	cunt
	9300038	9400	damn
	9300039	9400	damnit
	9300040	9400	dick
	9300041	9400	dicks
	9300042	9400	dildo
	9300043	9400	gay
	9300044	9400	god damn
	9300045	9400	god damnit
	9300046	9400	goddamn
	9300047	9400	goddamnit
	9300048	9400	mother fucker
	9300049	9400	motherfucker
	9300050	9400	nigger
	9300051	9400	pe nis
	9300052	9400	penis
	9300053	9400	pus sy
	9300054	9400	pussy
	9300055	9400	vagina
	9300056	9400	whore
	9300057	9400	retard
	9300058	9400	dumbass
	9300059	9400	biatch
	9300060	9400	prick
	9300061	9400	rape
	9300062	9400	raped
	9300063	9400	coochie
	9300064	9400	poontang
	9300065	9400	twat
	9300066	9400	slut
	9300067	9400	nookie
	9300068	9400	clit
	9300069	9400	cooch
	9300070	9400	porn
	9300071	9400	p0rn
	9300072	9400	boob
	9300073	9400	tits
	9300074	9400	orgasm
	9300075	9400	jizz
	9300076	9400	drug
	9300077	9400	masturbation
	9300078	9400	anal
	9300079	9400	ejaculate
	9300080	9400	semen
	9300081	9400	orgy
	9300082	9400	ejaculation
	9400001	9400	9400003
	9400002	9400	10000
	9400003	9400	" !""#$%&'()*+,-./:;<=>?@[\]^_`{|}~"
	9500001	9400	9500003
	9500002	9400	10000
	9500003	9400	suck
	9500004	9400	Suck
	9500005	9400	YOUXIKA
	9500006	9400	TMD
	9500007	9400	GAME_
	9500008	9400	falundafa
	9500009	9400	bitch
	9500010	9400	bitches
	9500011	9400	Bastard
	9500012	9400	falundafa
	9500013	9400	SEX
	9500014	9400	Sex
	9500015	9400	sex
	9500016	9400	shit
	9500017	9400	shitty
	9500018	9400	shity
	9500019	9400	S-H-I-T
	9500020	9400	s-h-i-t
	9500021	9400	SHIT
	9500022	9400	Shit
	9500023	9400	fuck
	9500024	9400	fucked
	9500025	9400	fucker
	9500026	9400	fuckers
	9500027	9400	fucking
	9500028	9400	Fuck
	9500029	9400	FUCK
	9500030	9400	f_u_c_k
	9500031	9400	F_U_C_K
	9500032	9400	F U C K
	9500033	9400	F-U-C-K
	9500034	9400	f-u-c-k
	9500035	9400	f_u_c_k
	9500036	9400	F_U_C_K
	9500037	9400	F U C K
	9500038	9400	GM
	9500039	9400	asses
	9500040	9400	asshole
	9500041	9400	assholes
	9500042	9400	bastard
	9500043	9400	bastards
	9500044	9400	c0ck
	9500045	9400	cock
	9500046	9400	cocks
	9500047	9400	cum
	9500048	9400	cunt
	9500049	9400	damn
	9500050	9400	damnit
	9500051	9400	dick
	9500052	9400	dicks
	9500053	9400	dildo
	9500054	9400	gay
	9500055	9400	god damn
	9500056	9400	god damnit
	9500057	9400	goddamn
	9500058	9400	goddamnit
	9500059	9400	mother fucker
	9500060	9400	motherfucker
	9500061	9400	nigger
	9500062	9400	pe nis
	9500063	9400	penis
	9500064	9400	pus sy
	9500065	9400	pussy
	9500066	9400	vagina
	9500067	9400	whore
	9500068	9400	retard
	9500069	9400	dumbass
	9500070	9400	biatch
	9500071	9400	prick
	9500072	9400	rape
	9500073	9400	raped
	9500074	9400	coochie
	9500075	9400	poontang
	9500076	9400	twat
	9500077	9400	slut
	9500078	9400	nookie
	9500079	9400	clit
	9500080	9400	cooch
	9500081	9400	porn
	9500082	9400	p0rn
	9500083	9400	boob
	9500084	9400	tits
	9500085	9400	orgasm
	9500086	9400	jizz
	9500087	9400	drug
	9500088	9400	masturbation
	9500089	9400	anal
	9500090	9400	ejaculate
	9500091	9400	semen
	9500092	9400	orgy
	9500093	9400	ejaculation
